brown,brown.a.01
bought,buy.v.01
dozen,O
eggs,egg.n.02
bit,O
lip,lip.n.01
left,leave.v.01
for,O
yesterday,O
'll,O
be,O
back,back.n.01
at,O
is,O
kind,entity.n.01
to,O
did,O
n't,O
matter,matter.v.01
to,O
animal,animal.n.01
is,O
bigger,big.a.01
than,O
one,person.n.01
Is,O
n't,O
theirs,person.n.01
instantly,instantly.r.01
fell,fall.v.03
in~love,in_love.a.01
with,O
party,party.n.04
took,take.v.02
place,O
in,O
big,big.a.01
room,room.n.01
is,O
taller,tall.a.01
than,O
will,O
be,O
masterpiece,masterpiece.n.01
fined,fine.v.01
yen,yen.n.02
for,O
illegal,illegal.a.01
parking,parking.n.01
transaction,transaction.n.01
was,O
carried,carry_out.v.01
out,O
in,O
yen,yen.n.02
rather,rather.r.04
than,O
US~dollars,O
There,O
's,O
ton,short_ton.n.01
of,O
dust,dust.n.01
on,O
top,top.n.02
fan~blades,O
took,take.v.02
six,O
years,year.n.01
to,O
conquer,suppress.v.01
drink,drink.v.01
lot,O
of,O
lemonade,lemonade.n.01
lied,lie.v.05
to,O
again,O
will,O
be,O
absent,absent.a.01
today,O
because,O
has,O
cold,cold.n.01
already,O
told,tell.v.02
hundred,O
times,time.n.01
am,O
whistling,whistle.v.03
in,O
house,house.n.01
is,O
years,year.n.01
old,old.a.01
've,O
got,O
plenty,O
of,O
money,money.n.01
freed,free.v.01
hostages,hostage.n.01
tried,try.v.01
to,O
squeeze,squeeze.v.01
juice,juice.n.01
from,O
orange,orange.n.01
whispered,whisper.v.01
something,entity.n.01
in,O
ear,ear.n.01
's,O
not,O
breaking,break.v.06
law,law.n.01
bought,buy.v.01
three,O
kilograms,kilogram.n.01
of,O
apples,apple.n.01
comes,come.v.08
from,O
state,state.n.01
of,O
'm,O
still,O
crying,cry.v.02
'm,O
calm,calm.a.01
now,O
Millions,O
of,O
people,person.n.01
in,O
United~States,country.n.02
are,O
unemployed,unemployed.a.01
Let,O
sing,sing.v.01
patriotic,patriotic.a.01
air,air.n.01
mother,mother.n.01
bought,buy.v.01
two,O
bottles,bottle.n.02
of,O
orange~juice,orange_juice.n.01
was,O
chewing,chew.v.01
on,O
toothpick,toothpick.n.01
committee,committee.n.01
consists,consist.v.04
of,O
fifteen,O
people,person.n.01
Everybody,person.n.01
paid,pay.v.01
dropped,drop.v.01
off,O
at,O
station,station.n.01
Dogs,dog.n.01
bark,bark.n.01
began,begin.v.01
to,O
snore,snore.v.01
arrived,arrive.v.01
by,O
car,car.n.01
Something,entity.n.01
's,O
not,O
right,O
am,O
wiping,wipe.v.01
nose,nose.n.01
with,O
handkerchief,handkerchief.n.01
book,book.n.02
is,O
so,so.r.01
difficult,difficult.a.01
ca,O
n't,O
read,read.v.01
is,O
buddy,buddy.n.01
of,O
mine,O
was,O
unimpressed,unimpressed.a.01
parents,parent.n.01
are,O
aged,aged.a.03
pushed,push.v.01
off,O
cliff,cliff.n.01
is,O
three,O
years,year.n.01
older,old.a.01
than,O
wiggled,wiggle.v.01
nose,nose.n.01
hate,hate.v.01
karaoke,karaoke.n.01
're,O
in,O
aisle,O
two,O
's,O
popular,popular.a.01
with,O
women,woman.n.01
dress,dress.n.01
is,O
above,O
knee,knee.n.01
loves,love.v.01
too,O
'll,O
see,see.v.01
tomorrow,O
at,O
school,school.n.02
grabbed,grab.v.05
keys,key.n.01
and,O
put,put.v.01
into,O
pocket,pocket.n.01
rash,rash.n.01
broke,break_out.v.01
out,O
on,O
neck,neck.n.01
'm,O
glad,glad.a.01
asked,ask.v.01
beat,beat.v.01
yesterday,O
is,O
sitting,sit.v.01
on,O
bunk,bunk.n.01
suffers,suffer.v.02
from,O
osteoporosis,osteoporosis.n.01
attends,attend.v.01
school,school.n.02
at,O
night,night.n.07
There,O
are,O
books,book.n.02
on,O
desk,desk.n.01
blushed,blush.v.01
is,O
twenty,O
years,year.n.01
old,old.a.01
knows,know.v.01
beautiful,beautiful.a.01
ring,ring.n.08
got,O
expelled,expel.v.01
's,O
maxed,O
out,O
credit~cards,O
demonstrated,show.v.01
new,new.a.01
vacuum~cleaners,O
was,O
jealous,jealous.a.01
has,O
eleven,O
children,child.n.02
swan,swan.n.01
is,O
gliding,glide.v.01
toward,O
reeds,reed.n.01
is,O
located,located.a.01
in,O
rubbed,rub.v.01
feet,foot.n.02
had,O
hair,hair.n.01
cut,cut.v.01
was,O
elected,elect.v.01
governor,governor.n.01
of,O
in,O
Few,O
scientists,scientist.n.01
understand,understand.v.01
theory~of~relativity,theory_of_relativity.n.01
There,O
's,O
famous,famous.a.01
book,book.n.02
in,O
entire,entire.a.01
last,last.a.02
chapter,chapter.n.01
is,O
single,single.a.04
sentence,sentence.n.01
is,O
unafraid,unafraid.a.01
is,O
years,year.n.01
younger,young.a.01
than,O
but,O
times,time.n.01
richer,rich.a.01
was,O
born,bear.v.02
on,O
express,express.a.02
train,train.n.01
from,O
arrives,O
at,O
ten~o'clock,O
have,O
to,O
put,put.v.01
stamp,stamp.n.04
on,O
envelope,envelope.n.01
loves,love.v.01
squirrels,squirrel.n.01
waved,wave.v.01
goodbye,goodbye.n.01
ca,O
n't,O
call,call.v.03
anyone,person.n.01
right,O
now,O
was,O
ashamed,ashamed.a.01
and,O
apologised,apologize.v.02
for,O
mistakes,mistake.n.01
Tennis,tennis.n.01
is,O
preferred,preferable.s.01
sport,sport.n.01
wife,wife.n.01
's,O
constant,constant.a.03
nagging,O
is,O
getting,get.v.01
down,O
is,O
n't,O
scared,scared.a.01
anymore,O
love,love.v.01
is,O
extremely,extremely.r.02
romantic,romantic.a.02
Belgium,belgium.n.01
is,O
called,call.v.01
in,O
spent,spend.v.01
day,day.n.01
in,O
open~air,open_air.n.01
love,love.v.01
honey,honey.n.01
will,O
cost,cost.v.01
thirty,O
euros,euro.n.01
Do,O
eat,eat.v.01
bell~peppers,O
was,O
n't,O
busy,busy.a.01
met,meet.v.01
in,O
by,O
chance,chance.n.01
farmer,farmer.n.01
owns,own.v.01
horses,horse.n.01
instead,O
of,O
tractor,tractor.n.01
material,material.n.01
absorbs,absorb.v.01
built,build.v.01
fence,fence.n.01
around,O
house,house.n.01
is,O
also,O
called,call.v.01
table~tennis,O
There,O
is,O
milk,milk.n.01
in,O
fridge,fridge.n.01
used,O
to,O
play,play.v.01
in,O
park,park.n.02
started,start.v.02
sweating,sweat.v.01
